Datum/Uhrzeit;WirkleisungBezug;ScheinleistungBezug;BlindleistungBezug;WirkleisungLieferung;ScheinleistungLieferung;BlindleistungLieferung
29.12.2016 11:47:53;115,3;186;0;0;0;145,9
29.12.2016 11:47:53;121;191,7;0;0;0;148,7
29.12.2016 11:47:54;125,1;194,1;0;0;0;148,4
29.12.2016 11:47:55;120,1;190,3;0;0;0;147,6
29.12.2016 11:47:56;110,5;184,7;0;0;0;148,1
29.12.2016 11:47:57;129,4;198;0;0;0;149,8
29.12.2016 11:47:58;136,2;202,1;0;0;0;149,3
29.12.2016 11:47:59;131,3;201,3;0;0;0;152,7
29.12.2016 11:48:00;130,7;203,9;0;0;0;156,4
29.12.2016 11:48:01;136,6;207;0;0;0;155,5
29.12.2016 11:48:02;141,1;213,9;0;0;0;160,7
29.12.2016 11:48:03;120,2;197,7;0;0;0;156,9
29.12.2016 11:48:04;118,1;190,5;0;0;0;149,5
29.12.2016 11:48:05;114,9;188;0;0;0;148,8
29.12.2016 11:48:06;132,3;198,9;0;0;0;148,6
29.12.2016 11:58:41;312,5;417,2;0;0;0;276,4
29.12.2016 11:58:42;311,9;417,5;0;0;0;277,6
29.12.2016 11:58:43;309,5;413,6;0;0;0;274,5
29.12.2016 11:58:51;304,1;407,7;0;0;0;271,5
29.12.2016 11:58:52;302,1;406,8;0;0;0;272,4
29.12.2016 11:58:53;294,5;401,6;0;0;0;273,1
29.12.2016 11:58:54;295,2;402,7;0;0;0;273,8
29.12.2016 11:58:55;313,6;416,4;0;0;0;273,9
29.12.2016 11:58:56;310,3;414,6;0;0;0;274,9
29.12.2016 11:58:57;293,8;401,4;0;0;0;273,5
29.12.2016 11:58:58;295;392;0;0;0;258,1
29.12.2016 11:58:59;282,9;376,4;0;0;0;248,3
29.12.2016 11:59:00;288,8;380,2;0;0;0;247,2
29.12.2016 11:59:01;298,4;388,3;0;0;0;248,5
29.12.2016 11:59:02;293;384;0;0;0;248,2
29.12.2016 11:59:03;284,8;378,4;0;0;0;249,2
29.12.2016 11:59:04;299,1;390;0;0;0;250,3
29.12.2016 11:59:05;318;404,5;0;0;0;250
29.12.2016 11:59:06;304,7;394,2;0;0;0;250,1
29.12.2016 11:59:07;312,8;399,2;0;0;0;248
29.12.2016 11:59:08;308,5;395,9;0;0;0;248
29.12.2016 11:59:09;320,5;405,5;0;0;0;248,3
29.12.2016 11:59:10;316,8;401,7;0;0;0;247
29.12.2016 11:59:11;309,9;395,6;0;0;0;245,9
29.12.2016 11:59:46;334,9;425,5;0;0;0;262,4
29.12.2016 11:59:47;342,2;429,2;0;0;0;259,1
29.12.2016 11:59:48;346,7;434,1;0;0;0;261,1
29.12.2016 11:59:49;351;437;0;0;0;260,4
29.12.2016 11:59:50;342,1;430,2;0;0;0;260,8
29.12.2016 11:59:51;345,8;432,5;0;0;0;259,8
29.12.2016 11:59:52;339,8;427,2;0;0;0;258,9
29.12.2016 12:00:34;324,7;423,3;0;0;0;271,5
29.12.2016 12:00:35;314,3;411,8;0;0;0;266,1
29.12.2016 12:00:36;299,4;401,4;0;0;0;267,2
29.12.2016 12:00:37;266,7;379;0;0;0;269,3
29.12.2016 12:00:38;277,9;384;0;0;0;265
29.12.2016 12:00:39;303,1;405,4;0;0;0;269,2
29.12.2016 12:00:40;282,4;389;0;0;0;267,5
29.12.2016 12:00:41;280,9;387,6;0;0;0;267
29.12.2016 12:00:42;283,1;390,9;0;0;0;269,5
29.12.2016 12:00:43;274,9;378,1;0;0;0;259,6
29.12.2016 12:00:44;271,5;376,6;0;0;0;260,9
29.12.2016 12:00:45;277,7;378,8;0;0;0;257,6
29.12.2016 12:00:46;278,9;381,5;0;0;0;260,3
29.12.2016 12:00:47;280;380,7;0;0;0;257,9
29.12.2016 12:00:48;273;378,2;0;0;0;261,7
29.12.2016 12:00:49;268;375,6;0;0;0;263,2
29.12.2016 12:00:50;269,5;377,3;0;0;0;264
29.12.2016 12:01:58;245,8;344;0;0;0;240,6
29.12.2016 12:01:59;226,2;329,7;0;0;0;239,8
29.12.2016 12:02:00;232,9;335,6;0;0;0;241,6
29.12.2016 12:02:01;222,6;328,5;0;0;0;241,6
29.12.2016 12:02:02;237,7;338,8;0;0;0;241,4
29.12.2016 12:02:03;233,2;336;0;0;0;241,9
29.12.2016 12:02:09;246,1;346,5;0;0;0;243,9
29.12.2016 12:02:10;243,8;344,3;0;0;0;243,1
29.12.2016 12:02:11;234,7;338,6;0;0;0;244,1
29.12.2016 12:02:12;237,3;340,2;0;0;0;243,9
29.12.2016 12:02:13;243,4;344,8;0;0;0;244,2
29.12.2016 12:02:14;253,9;351,5;0;0;0;243
29.12.2016 12:02:15;251;348,3;0;0;0;241,5
29.12.2016 12:02:16;237,9;339,3;0;0;0;241,9
29.12.2016 12:02:17;246,2;345,2;0;0;0;241,9
29.12.2016 12:02:18;247,5;345,9;0;0;0;241,6
29.12.2016 12:02:19;240,8;341,5;0;0;0;242,1
29.12.2016 12:02:20;243;344;0;0;0;243,5
29.12.2016 12:02:21;248,4;347,1;0;0;0;242,5
29.12.2016 12:02:22;250,3;349,3;0;0;0;243,6
29.12.2016 12:52:06;4381,2;4395,1;349,6;0;0;0
29.12.2016 12:52:07;4366;4373,6;256,5;0;0;0
29.12.2016 12:52:08;4378,1;4388,2;298,4;0;0;0
29.12.2016 12:52:09;4379,4;4388,1;277,5;0;0;0
29.12.2016 12:52:10;4390,2;4399,1;280;0;0;0
29.12.2016 12:52:11;4400,7;4415;354,2;0;0;0
29.12.2016 12:52:12;4436,3;4453,6;392,6;0;0;0
29.12.2016 12:55:24;3611,6;3617;0;0;0;197,2
29.12.2016 12:55:25;3607,2;3612,6;0;0;0;196,9
29.12.2016 12:55:26;3617,1;3622,1;0;0;0;191
29.12.2016 12:55:27;3605,2;3610,1;0;0;0;188,8
29.12.2016 12:55:28;5034,7;5037,4;0;0;0;166,6
29.12.2016 12:55:48;5145,5;5148;159,7;0;0;0
29.12.2016 12:55:49;5052,9;5056,3;0;0;0;184
29.12.2016 12:55:50;5050,4;5053,8;0;0;0;184,8
29.12.2016 12:55:51;5058,6;5062,1;0;0;0;188,3
29.12.2016 12:55:52;5071,7;5075,3;0;0;0;190,5
29.12.2016 12:55:53;5041,8;5045,5;0;0;0;192,4
29.12.2016 12:55:54;5041;5044,5;0;0;0;186,3
29.12.2016 12:55:55;5029;5032,8;0;0;0;194,9
29.12.2016 12:55:56;5030,2;5034,1;0;0;0;199,1
29.12.2016 12:55:57;4335,3;4339,5;0;0;0;192,1
29.12.2016 12:55:58;3581,2;3583,3;0;0;0;123,3
29.12.2016 12:55:59;3833,8;3918,1;808;0;0;0
29.12.2016 12:56:00;3687,8;3707,5;381,9;0;0;0
29.12.2016 12:56:01;3694,2;3712,2;365,4;0;0;0
29.12.2016 12:56:02;3695,6;3709,9;325,4;0;0;0
29.12.2016 12:56:03;3700,5;3717,3;353,1;0;0;0
29.12.2016 12:56:04;3736,7;3756,9;388,3;0;0;0
29.12.2016 12:56:27;3465,8;3470,4;0;0;0;177,6
29.12.2016 12:56:28;3447,5;3447,6;9,5;0;0;0
29.12.2016 12:56:29;5007,5;5049,5;649,3;0;0;0
29.12.2016 12:56:30;5122,1;5134,4;356,4;0;0;0
29.12.2016 12:56:31;5116;5128,9;364,1;0;0;0
29.12.2016 12:56:32;5092,6;5103,1;326,8;0;0;0
29.12.2016 12:56:33;5120,8;5139,2;434,6;0;0;0
29.12.2016 12:56:34;5086,7;5098,6;347,3;0;0;0
29.12.2016 12:56:35;3663,9;3679,2;334,9;0;0;0
29.12.2016 12:56:36;3651,7;3677,4;434,1;0;0;0
29.12.2016 12:56:37;3646,3;3664,7;366,2;0;0;0
29.12.2016 12:56:38;3642,1;3661,2;373,1;0;0;0
29.12.2016 12:56:39;3669,5;3690,8;395,5;0;0;0
29.12.2016 12:56:40;3661,2;3680,9;380;0;0;0
29.12.2016 12:56:41;3664,4;3682,1;361,4;0;0;0
29.12.2016 12:56:42;3680,5;3710,8;473;0;0;0
29.12.2016 12:56:43;5100,6;5118,4;426,8;0;0;0
29.12.2016 12:56:44;5111,8;5128,4;411,6;0;0;0
29.12.2016 12:56:45;5119,5;5137,9;433,9;0;0;0
29.12.2016 12:56:46;5116,3;5136,7;457,4;0;0;0
29.12.2016 12:56:47;5098,4;5114;399,1;0;0;0
29.12.2016 12:56:48;4433,4;4435,4;0;0;0;133,8
