Datum/Uhrzeit;WirkleisungBezug;ScheinleistungBezug;BlindleistungBezug;WirkleisungLieferung;ScheinleistungLieferung;BlindleistungLieferung
27.08.2016 18:10:18;0;0;0;19,5;282,8;282,1
27.08.2016 18:10:19;0;0;0;6,9;279,7;279,6
27.08.2016 18:10:20;13,3;285,1;0;0;0;284,8
27.08.2016 18:10:21;0;0;0;8,6;287,6;287,5
27.08.2016 18:10:22;0;0;0;21,7;291,3;290,5
27.08.2016 18:10:23;0;0;0;32,9;282,4;280,5
27.08.2016 18:10:24;0;0;0;20,9;282,4;281,7
27.08.2016 18:10:25;3,1;284,8;0;0;0;284,8
27.08.2016 18:10:26;1002,5;1004,7;0;0;0;66,3
27.08.2016 18:10:27;219,5;267,9;0;0;0;153,6
27.08.2016 18:10:28;0;0;0;287,2;336,5;175,3
27.08.2016 18:10:29;0;0;0;291,9;340,7;175,8
27.08.2016 18:10:30;0;0;0;183,6;257;179,8
27.08.2016 18:10:31;0;0;0;100,4;208,2;182,4
27.08.2016 18:10:32;0;0;0;78,2;195,1;178,7
27.08.2016 18:10:33;0;0;0;56,9;188,3;179,5
27.08.2016 18:10:34;0;0;0;36,2;185,5;181,9
27.08.2016 18:10:35;0;0;0;10,8;186,1;185,8
27.08.2016 18:10:36;1,5;186,4;0;0;0;186,4
27.08.2016 18:10:37;0;0;0;14,1;182,4;181,8
27.08.2016 18:10:38;0;0;0;18,3;182,4;181,4
27.08.2016 18:10:39;0;0;0;1,3;189,8;189,8
27.08.2016 18:10:40;0;0;0;1,7;196,6;196,6
27.08.2016 18:10:41;2,8;195,4;0;0;0;195,4
27.08.2016 18:10:42;0;0;0;13,7;185,7;185,2
27.08.2016 18:10:43;0;0;0;14,8;182;181,4
27.08.2016 18:10:44;10,4;189,2;0;0;0;188,9
27.08.2016 18:10:45;3,8;186,9;0;0;0;186,9
