Datum/Uhrzeit;WirkleisungBezug;ScheinleistungBezug;BlindleistungBezug;WirkleisungLieferung;ScheinleistungLieferung;BlindleistungLieferung
16.06.2016 20:30:42;524,7;580,5;0;0;0;248,5
16.06.2016 20:30:43;533,6;588,1;0;0;0;247,2
16.06.2016 20:30:44;526,1;581,5;0;0;0;247,7
16.06.2016 20:30:45;530,7;590,3;0;0;0;258,5
16.06.2016 20:30:46;503,7;562,6;0;0;0;250,5
16.06.2016 20:30:47;519,5;575,1;0;0;0;246,6
16.06.2016 20:30:48;533,6;591,4;0;0;0;255,1
16.06.2016 20:30:49;542,6;601,4;0;0;0;259,4
16.06.2016 20:30:50;528,9;589;0;0;0;259,1
16.06.2016 20:30:51;529,7;589,2;0;0;0;258,1
16.06.2016 20:30:52;531,6;591,2;0;0;0;258,7
16.06.2016 20:30:53;538,6;597,5;0;0;0;258,7
16.06.2016 20:30:54;542,8;601,5;0;0;0;259,1
16.06.2016 20:30:55;537,9;597,2;0;0;0;259,4
16.06.2016 20:30:56;548,7;606,7;0;0;0;258,8
16.06.2016 20:30:57;549,5;607,5;0;0;0;259,2
16.06.2016 20:30:58;548,6;606,5;0;0;0;258,7
16.06.2016 20:30:59;538,3;595,7;0;0;0;255,2
16.06.2016 20:31:00;537,8;594;0;0;0;252,3
16.06.2016 20:31:01;534,4;591;0;0;0;252,5
16.06.2016 20:31:02;541,9;599,9;0;0;0;257,4
16.06.2016 20:31:03;541,9;598,5;0;0;0;254
16.06.2016 20:31:04;542,5;600,3;0;0;0;257
16.06.2016 20:31:05;521,7;580,5;0;0;0;254,8
16.06.2016 20:31:06;538,3;596,4;0;0;0;256,8
16.06.2016 20:31:07;538,5;596,5;0;0;0;256,5
16.06.2016 20:31:08;531,8;588,2;0;0;0;251,2
16.06.2016 20:31:09;532,8;585,8;0;0;0;243,7
16.06.2016 20:31:10;527,7;583,8;0;0;0;249,9
16.06.2016 20:31:11;533,4;589,6;0;0;0;251,2
16.06.2016 20:31:12;539,6;597,7;0;0;0;257
16.06.2016 20:31:13;540,4;597,7;0;0;0;255,3
16.06.2016 20:31:14;542,8;599,1;0;0;0;253,6
16.06.2016 20:31:15;527,9;587,3;0;0;0;257,4
16.06.2016 20:31:16;510,7;571,6;0;0;0;256,6
16.06.2016 20:31:17;521,8;579;0;0;0;251
16.06.2016 20:31:18;547,4;603,2;0;0;0;253,4
16.06.2016 20:31:19;528,2;587,4;0;0;0;257
16.06.2016 20:31:20;519,7;577,8;0;0;0;252,5
16.06.2016 20:31:21;542,2;596,8;0;0;0;249,4
16.06.2016 20:31:22;537,4;596,3;0;0;0;258,6
16.06.2016 20:31:23;538,8;595,7;0;0;0;254
16.06.2016 20:31:24;558,3;615,2;0;0;0;258,4
16.06.2016 20:31:25;546,5;601,9;0;0;0;252,2
16.06.2016 20:31:26;527,6;587,4;0;0;0;258,3
16.06.2016 20:31:27;541,1;600,3;0;0;0;259,9
16.06.2016 20:31:28;558,6;616,4;0;0;0;260,4
16.06.2016 20:31:29;536,6;593,1;0;0;0;252,7
16.06.2016 20:31:30;511,2;566,1;0;0;0;243,1
16.06.2016 20:31:31;498,2;554,7;0;0;0;243,9
16.06.2016 20:31:32;501;556,8;0;0;0;243
16.06.2016 20:31:33;509,8;564,9;0;0;0;243,4
16.06.2016 20:31:34;504,2;559,7;0;0;0;242,9
16.06.2016 20:31:35;522,9;576,9;0;0;0;243,7
16.06.2016 20:31:36;526,5;585,7;0;0;0;256,7
16.06.2016 20:31:37;532,7;586,5;0;0;0;245,6
16.06.2016 20:31:38;531,2;588,6;0;0;0;253,5
16.06.2016 20:31:39;554,3;612,9;0;0;0;261,6
16.06.2016 20:31:40;532,6;592,4;0;0;0;259,4
16.06.2016 20:31:41;536,4;596,6;0;0;0;261
16.06.2016 20:31:42;514,8;573,2;0;0;0;252
16.06.2016 20:31:43;520,1;580,6;0;0;0;258,1
16.06.2016 20:31:44;519,7;580,6;0;0;0;258,7
16.06.2016 20:31:45;521;582;0;0;0;259,4
16.06.2016 20:31:46;513,6;570,1;0;0;0;247,5
16.06.2016 20:31:47;513,3;573,8;0;0;0;256,6
16.06.2016 20:31:48;497,5;556,2;0;0;0;248,7
16.06.2016 20:31:49;513,8;569,9;0;0;0;246,8
16.06.2016 20:31:50;525,1;582,3;0;0;0;251,8
16.06.2016 20:31:51;528,9;588,5;0;0;0;258,1
16.06.2016 20:31:52;517,9;577,9;0;0;0;256,5
16.06.2016 20:31:53;517,6;577,1;0;0;0;255,2
16.06.2016 20:31:54;536,4;596,3;0;0;0;260,3
16.06.2016 20:31:55;535;595;0;0;0;260,4
16.06.2016 20:31:56;548,3;607,1;0;0;0;260,6
16.06.2016 20:31:57;519,2;577;0;0;0;251,8
16.06.2016 20:31:58;548,8;607,5;0;0;0;260,6
16.06.2016 20:31:59;532,7;593,6;0;0;0;261,9
16.06.2016 20:32:00;535,3;594,9;0;0;0;259,5
16.06.2016 20:32:01;524,1;584,8;0;0;0;259,5
16.06.2016 20:32:02;538,1;597,8;0;0;0;260,4
16.06.2016 20:32:03;557,6;615,5;0;0;0;260,7
16.06.2016 20:32:04;565,1;622,7;0;0;0;261,5
16.06.2016 20:32:05;526;586,4;0;0;0;259,3
16.06.2016 20:32:06;551,9;611;0;0;0;262,1
16.06.2016 20:32:07;542,7;602,4;0;0;0;261,5
16.06.2016 20:32:08;518,5;577,8;0;0;0;255
16.06.2016 20:32:09;529,4;589;0;0;0;258,3
16.06.2016 20:32:10;528,1;587,7;0;0;0;257,9
16.06.2016 20:32:11;506,1;562,3;0;0;0;245,1
16.06.2016 20:32:12;530,4;590,2;0;0;0;258,9
16.06.2016 20:32:13;525,2;583,9;0;0;0;255,2
16.06.2016 20:32:14;517,5;577;0;0;0;255,2
16.06.2016 20:32:15;523,5;583,8;0;0;0;258,2
16.06.2016 20:32:16;520,4;581,1;0;0;0;258,5
16.06.2016 20:32:17;513;572;0;0;0;253,2
16.06.2016 20:32:18;514,3;575,4;0;0;0;257,9
16.06.2016 20:32:19;502,2;564,3;0;0;0;257,3
16.06.2016 20:32:20;511,9;571,2;0;0;0;253,5
16.06.2016 20:32:21;510,9;572,9;0;0;0;259,1
16.06.2016 20:32:22;491,9;555,7;0;0;0;258,6
16.06.2016 20:32:23;478,4;542,4;0;0;0;255,7
16.06.2016 20:32:24;481,8;551,3;0;0;0;267,9
16.06.2016 20:32:25;476,4;547,5;0;0;0;269,8
16.06.2016 20:32:26;482,4;551,8;0;0;0;267,8
16.06.2016 20:32:27;452,5;525,9;0;0;0;268,1
16.06.2016 20:32:28;438,5;510,2;0;0;0;260,9
16.06.2016 20:32:29;446,2;516,2;0;0;0;259,6
16.06.2016 20:32:30;476,2;547,1;0;0;0;269,4
16.06.2016 20:32:31;479,4;547,4;0;0;0;264,3
16.06.2016 20:32:32;477,9;548;0;0;0;268,1
16.06.2016 20:32:33;503,1;570,7;0;0;0;269,3
16.06.2016 20:32:34;489,6;556,4;0;0;0;264,5
16.06.2016 20:32:35;479,2;548,9;0;0;0;267,7
16.06.2016 20:32:36;460,4;530,8;0;0;0;264,2
16.06.2016 20:32:37;469,2;537,2;0;0;0;261,7
16.06.2016 20:32:38;485,1;549,4;0;0;0;258
16.06.2016 20:32:39;466,4;531,3;0;0;0;254,5
16.06.2016 20:32:40;465,6;536,7;0;0;0;266,9
16.06.2016 20:32:41;467,6;534,3;0;0;0;258,5
16.06.2016 20:32:42;475,7;540,4;0;0;0;256,3
16.06.2016 20:32:43;477,6;547,5;0;0;0;267,7
16.06.2016 20:32:44;472,5;542,7;0;0;0;267
16.06.2016 20:32:45;471,5;535,7;0;0;0;254,2
16.06.2016 20:32:46;458,5;524,6;0;0;0;254,9
16.06.2016 20:32:47;461,1;530;0;0;0;261,4
16.06.2016 20:32:48;452,2;522,9;0;0;0;262,5
16.06.2016 20:32:49;477,8;544,7;0;0;0;261,4
16.06.2016 20:32:50;461;526,6;0;0;0;254,5
16.06.2016 20:32:51;452,4;519;0;0;0;254,5
16.06.2016 20:32:52;443,7;513,3;0;0;0;258,1
16.06.2016 20:32:53;445,8;517,4;0;0;0;262,6
16.06.2016 20:32:54;451,5;518,4;0;0;0;254,7
16.06.2016 20:32:55;456,9;527,5;0;0;0;263,6
16.06.2016 20:32:56;463,9;532,2;0;0;0;260,9
16.06.2016 20:32:57;475,4;539,2;0;0;0;254,6
16.06.2016 20:32:58;465,9;533,7;0;0;0;260,3
16.06.2016 20:32:59;463,2;530,6;0;0;0;258,9
16.06.2016 20:33:00;451,1;519,4;0;0;0;257,5
16.06.2016 20:33:01;430,1;502,6;0;0;0;260,2
16.06.2016 20:33:02;471,9;544,1;0;0;0;270,7
16.06.2016 20:33:03;449,3;523;0;0;0;267,7
16.06.2016 20:33:04;470,7;543,1;0;0;0;270,9
16.06.2016 20:33:05;442,3;512,2;0;0;0;258,2
16.06.2016 20:33:06;451,2;524,3;0;0;0;267
16.06.2016 20:33:07;471;535,9;0;0;0;255,6
16.06.2016 20:33:08;458,5;527,4;0;0;0;260,6
16.06.2016 20:33:09;484;550;0;0;0;261,1
16.06.2016 20:33:10;457,5;530,6;0;0;0;268,7
16.06.2016 20:33:11;449,1;518,8;0;0;0;259,7
16.06.2016 20:33:12;456,5;528,9;0;0;0;267,2
16.06.2016 20:33:13;453;526,3;0;0;0;268
16.06.2016 20:33:14;468,8;540,7;0;0;0;269,4
16.06.2016 20:33:15;443,7;518,9;0;0;0;269,1
16.06.2016 20:33:16;442,6;518,1;0;0;0;269,3
16.06.2016 20:33:17;447,4;522,4;0;0;0;269,6
