Datum/Uhrzeit;WirkleisungBezug;ScheinleistungBezug;BlindleistungBezug;WirkleisungLieferung;ScheinleistungLieferung;BlindleistungLieferung
02.04.2020 09:08:20;0;0;0;260,4;550,1;2,880438E+08
02.04.2020 09:08:21;0;0;0;268,3;556,1;2,880438E+08
02.04.2020 09:08:22;0;0;0;287,5;567,9;2,880438E+08
02.04.2020 09:08:23;0;0;0;256,7;548;2,880438E+08
02.04.2020 09:08:46;0;0;0;277,4;553,1;478,4
02.04.2020 09:08:47;0;0;0;299,8;564,7;478,6
02.04.2020 09:08:48;0;0;0;324,2;577,8;478,3
02.04.2020 09:08:49;0;0;0;300,9;568,8;482,7
02.04.2020 09:08:50;0;0;0;319,3;575,7;479
02.04.2020 09:08:51;0;0;0;327,2;581,4;480,6
02.04.2020 09:08:52;0;0;0;309,8;570,6;479,1
02.04.2020 09:08:53;0;0;0;324,2;578,6;479,3
02.04.2020 09:08:54;0;0;0;293,5;561,6;478,8
02.04.2020 09:09:46;11,8;466,8;0;0;0;466,7
02.04.2020 09:09:47;0;0;0;136,6;488,2;468,7
02.04.2020 09:09:48;0;0;0;110,8;479,9;467
02.04.2020 09:09:49;0;0;0;100,1;484,3;473,8
02.04.2020 09:09:50;0;0;0;93,7;484;474,8
02.04.2020 09:10:15;0;0;0;51,6;469,5;466,7
02.04.2020 09:10:16;0;0;0;102,8;473,9;462,6
02.04.2020 09:10:17;0;0;0;106,1;472,5;460,5
02.04.2020 09:10:18;0;0;0;114,1;478,4;464,5
02.04.2020 09:10:19;0;0;0;90,4;462,4;453,5
02.04.2020 09:10:20;0;0;0;104;468,1;456,4
02.04.2020 09:10:21;0;0;0;83,6;464,2;456,6
02.04.2020 09:10:22;0;0;0;100,7;465,8;454,8
02.04.2020 09:10:23;0;0;0;88,2;460,7;452,1
02.04.2020 09:10:24;0;0;0;111,2;461,6;448
02.04.2020 09:10:25;0;0;0;81,5;463,2;455,9
02.04.2020 09:10:26;0;0;0;77,9;457,8;451,1
