Datum/Uhrzeit;WirkleisungBezug;ScheinleistungBezug;BlindleistungBezug;WirkleisungLieferung;ScheinleistungLieferung;BlindleistungLieferung
31.03.2020 08:55:35;10,3;462,6;0;0;0;462,5
31.03.2020 08:55:36;4,4;460,9;0;0;0;460,9
31.03.2020 08:55:37;0;0;0;53,2;462,6;459,5
31.03.2020 08:55:38;0;0;0;7,7;463,1;463
31.03.2020 08:55:39;0;0;0;10;459,3;459,2
31.03.2020 08:55:40;0;0;0;20,5;464,1;463,6
31.03.2020 08:55:41;0;0;0;15,7;458,9;458,7
31.03.2020 08:55:42;0;0;0;0,2;457,6;457,6
31.03.2020 08:55:43;0;0;0;19,2;457,6;457,2
31.03.2020 08:55:44;0;0;0;15,5;463,7;463,5
31.03.2020 08:55:45;0;0;0;1,8;457,5;457,5
31.03.2020 09:07:16;0;0;0;417,1;615,3;452,3
31.03.2020 09:07:17;0;0;0;410,9;609,3;449,9
31.03.2020 09:07:18;0;0;0;426,8;619,7;449,3
31.03.2020 09:07:19;0;0;0;446,7;632,7;448
31.03.2020 09:07:20;0;0;0;444;634,7;453,5
31.03.2020 09:07:21;0;0;0;418,5;613,8;449
31.03.2020 09:07:22;0;0;0;435,9;625,6;448,8
31.03.2020 09:07:23;0;0;0;415,1;612,5;450,4
31.03.2020 09:07:24;0;0;0;410,7;609,3;450
31.03.2020 09:07:25;0;0;0;403,2;603,6;449,3
31.03.2020 09:07:26;0;0;0;369,9;584,2;452,1
31.03.2020 09:07:27;0;0;0;375,1;587,7;452,4
31.03.2020 09:07:28;0;0;0;345,9;580,2;465,9
31.03.2020 09:08:43;0;0;0;321,8;546,5;441,7
31.03.2020 09:08:44;0;0;0;297,4;536,2;446,2
31.03.2020 09:08:45;0;0;0;351,5;564,6;441,9
31.03.2020 09:08:46;0;0;0;341,1;560,6;444,9
31.03.2020 09:08:47;0;0;0;339,2;557,2;442,1
31.03.2020 09:08:48;0;0;0;313,3;542,8;443,3
31.03.2020 09:08:49;0;0;0;333,2;552,8;441
31.03.2020 09:08:50;0;0;0;318,5;545,9;443,3
31.03.2020 09:08:51;0;0;0;333,4;554,8;443,4
31.03.2020 09:08:52;0;0;0;342,8;563,2;446,9
31.03.2020 09:08:53;0;0;0;321,8;546,4;441,6
31.03.2020 09:09:04;0;0;0;415,4;604,1;438,6
31.03.2020 09:09:05;0;0;0;430,7;615,5;439,8
31.03.2020 09:09:06;0;0;0;484,7;657,4;444,1
31.03.2020 09:09:07;0;0;0;492,1;662,8;444
31.03.2020 09:09:08;0;0;0;481,1;655,1;444,6
31.03.2020 09:09:09;0;0;0;487,3;662,5;448,9
31.03.2020 09:09:10;0;0;0;503,9;674,7;448,7
31.03.2020 09:09:11;0;0;0;510,6;679,6;448,4
31.03.2020 09:09:12;0;0;0;526,1;698,7;459,8
31.03.2020 09:09:13;0;0;0;417,7;624,1;463,7
31.03.2020 09:09:14;0;0;0;310,7;557,9;463,3
31.03.2020 09:09:15;0;0;0;313,5;545,3;446,2
31.03.2020 09:09:16;0;0;0;342,4;561,7;445,2
31.03.2020 09:09:17;0;0;0;348,7;569,9;450,8
31.03.2020 09:09:18;0;0;0;336,8;568;457,4
31.03.2020 09:09:19;0;0;0;347;577,4;461,5
31.03.2020 09:09:20;0;0;0;361,2;587;462,7
31.03.2020 09:09:21;0;0;0;357,8;590,6;469,9
31.03.2020 09:09:22;0;0;0;364,1;583,7;456,2
31.03.2020 09:09:23;0;0;0;364;586,9;460,3
31.03.2020 09:09:24;0;0;0;370,2;594,1;464,7
31.03.2020 09:09:25;0;0;0;368;596,1;469
31.03.2020 09:09:26;0;0;0;351,3;577,7;458,6
31.03.2020 09:09:27;0;0;0;373,3;586,5;452,3
31.03.2020 09:09:28;0;0;0;373;586,1;452,1
